City,State,Temperature_F_grouped,Visibility mi group,Weather Conditions,Distance mi,Duration min,Hour of Accident,Severity
McLeansville,NC,41-50,6-10,Light Precipitation,1.79,142,0,2
Whitsett,NC,41-50,6-10,Light Precipitation,2.19,147,0,2
McLeansville,NC,41-50,6-10,Light Precipitation,0.02,240,0,2
McLeansville,NC,41-50,6-10,Light Precipitation,0.3,240,0,2
Mc Leansville,NC,41-50,6-10,Light Precipitation,0.05,249,0,2
Charlotte,NC,51-60,6-10,Cloudy,0.41,180,23,2
Charlotte,NC,51-60,6-10,Cloudy,0.41,180,23,2
Kirkwood,NY,31-40,6-10,Light Precipitation,0.02,389,20,2
Kirkwood,NY,31-40,6-10,Light Precipitation,0.02,774,20,2
Garland,TX,81-90,6-10,Fair,0.53,21,16,2
Waxahachie,TX,61-70,6-10,Light Precipitation,0.02,129,11,2
Fort Worth,TX,51-60,6-10,Light Precipitation,0.02,123,10,2
Dallas,TX,41-50,6-10,Cloudy,1.58,43,6,2
Lancaster,TX,41-50,6-10,Cloudy,2.68,60,6,2
Dallas,TX,51-60,6-10,Cloudy,0.03,126,2,2
Dallas,TX,51-60,6-10,Cloudy,0.03,128,0,2
Dallas,TX,51-60,6-10,Cloudy,0.03,147,0,2
Austin,TX,51-60,6-10,Cloudy,0.03,360,9,2
Fort Worth,TX,61-70,6-10,Cloudy,0.32,130,6,2
Austin,TX,61-70,6-10,Cloudy,2.78,301,6,2
Dallas,TX,61-70,6-10,Cloudy,0.25,127,0,2
Fort Worth,TX,61-70,6-10,Cloudy,0.04,132,22,2
Irving,TX,41-50,6-10,Cloudy,0.96,126,5,2
Dallas,TX,41-50,6-10,Cloudy,5.64,101,7,2
Dallas,TX,41-50,6-10,Cloudy,0.7,129,6,2
Dallas,TX,51-60,6-10,Cloudy,0.44,125,6,2
Austin,TX,81-90,6-10,Cloudy,0.03,360,17,2
Waukesha,WI,31-40,6-10,Cloudy,0.23,129,2,2
Dallas,TX,71-80,11-15,Fair,0.01,124,13,2
Salem,CT,41-50,0-5,Dust/Fog/Haze/Mist,0.03,127,3,2
Salem,CT,41-50,0-5,Dust/Fog/Haze/Mist,0.03,131,3,2
Harper Woods,MI,51-60,0-5,Dust/Fog/Haze/Mist,5.72,96,7,2
Brooklyn,NY,41-50,0-5,Dust/Fog/Haze/Mist,0.01,135,0,2
Brooklyn,NY,41-50,0-5,Dust/Fog/Haze/Mist,0.01,141,0,2
Yonkers,NY,41-50,0-5,Light Precipitation,0.09,128,20,2
Rego Park,NY,41-50,0-5,Light Precipitation,0.9,130,22,2
Corona,NY,41-50,0-5,Light Precipitation,0.03,125,1,2
Greenwich,CT,41-50,0-5,Light Precipitation,1.3,43,21,2
Atlanta,GA,61-70,0-5,Light Precipitation,0.23,94,6,2
Atlanta,GA,61-70,0-5,Light Precipitation,0.23,94,6,2
Atlanta,GA,61-70,0-5,Light Precipitation,0.23,94,6,2
Atlanta,GA,61-70,0-5,Thunderstorm,0.05,30,9,2
Atlanta,GA,61-70,0-5,Thunderstorm,0.05,30,9,2
Grand Rapids,MI,31-40,0-5,Light Precipitation,1.1,38,17,2
Newark,NJ,41-50,0-5,Light Precipitation,0.09,128,21,2
Newark,NJ,41-50,0-5,Light Precipitation,0.09,130,21,2
Union,NJ,41-50,0-5,Light Precipitation,0.07,130,21,2
Newark,NJ,41-50,0-5,Light Precipitation,0.05,130,22,2
Newark,NJ,41-50,0-5,Light Precipitation,0.05,183,22,2
Bronx,NY,41-50,0-5,Dust/Fog/Haze/Mist,0.15,154,4,2
Bronx,NY,41-50,0-5,Dust/Fog/Haze/Mist,0.72,183,4,2
Bronx,NY,41-50,0-5,Dust/Fog/Haze/Mist,0.78,201,4,2
Woodside,NY,41-50,0-5,Dust/Fog/Haze/Mist,4.89,911,6,2
Bronx,NY,41-50,0-5,Dust/Fog/Haze/Mist,2.15,921,6,2
Ridgewood,NY,41-50,0-5,Light Precipitation,0.91,28,16,2
Bronx,NY,41-50,0-5,Light Precipitation,0.09,126,16,2
Ridgewood,NY,41-50,0-5,Light Precipitation,0.1,127,16,2
Ridgewood,NY,41-50,0-5,Light Precipitation,0.1,131,16,2
Bloomsburg,PA,41-50,0-5,Light Precipitation,0.02,124,13,2
Pittsburgh,PA,51-60,0-5,Light Precipitation,0.33,129,16,2
Orange Park,FL,61-70,0-5,Cloudy,0.07,300,8,2
Albany,GA,51-60,0-5,Fair,0.03,30,4,2
Albany,GA,51-60,0-5,Fair,0.01,372,4,2
Albany,GA,51-60,0-5,Fair,0.01,372,4,2
Coloma,MI,31-40,0-5,Rain,0.21,128,6,2
Hayesville,NC,51-60,0-5,Rain,0.13,63,17,2
Fords,NJ,41-50,0-5,Cloudy,0.85,129,4,2
Fords,NJ,41-50,0-5,Cloudy,0.85,132,4,2
Buffalo,NY,41-50,0-5,Light Precipitation,0.53,123,5,2
Shamokin Dam,PA,41-50,0-5,Cloudy,0.1,134,14,2
Chambersburg,PA,41-50,0-5,Light Precipitation,1.26,124,7,2
Chambersburg,PA,41-50,0-5,Light Precipitation,1.26,124,7,2
Fairview,PA,21-30,0-5,Light Precipitation,1.16,129,20,2
New Haven,CT,51-60,0-5,Fair,0.36,37,19,2
New Haven,CT,51-60,0-5,Fair,0.21,126,19,2
New Haven,CT,51-60,0-5,Fair,0.14,181,20,2
Kennesaw,GA,61-70,0-5,Light Precipitation,0.8,45,6,2
Atlanta,GA,61-70,0-5,Thunderstorm,0.36,36,23,2
Indianapolis,IN,41-50,0-5,Cloudy,0.71,59,12,2
Selma,IN,41-50,0-5,Dust/Fog/Haze/Mist,0.25,119,14,2
Saint Joseph,MI,41-50,0-5,Light Precipitation,1.32,30,20,2
Union City,NJ,41-50,0-5,Cloudy,0.09,125,22,2
Union City,NJ,41-50,0-5,Cloudy,0.09,131,22,2
Fort Lee,NJ,51-60,0-5,Light Precipitation,0.02,125,12,2
Fort Lee,NJ,51-60,0-5,Light Precipitation,0.02,129,12,2
New York,NY,41-50,0-5,Cloudy,0.06,126,22,2
New York,NY,41-50,0-5,Cloudy,0.06,131,22,2
Buffalo,NY,41-50,0-5,Light Precipitation,0.01,132,15,2
Philadelphia,PA,51-60,0-5,Cloudy,0.13,125,1,2
Philadelphia,PA,51-60,0-5,Cloudy,0.39,125,1,2
Dallas,GA,41-50,0-5,Fair,0.03,30,7,2
Hiram,GA,41-50,0-5,Fair,0.11,30,7,2
Clarkston,GA,51-60,0-5,Fair,4.51,69,8,2
Tucker,GA,51-60,0-5,Fair,0.2,85,8,2
Atlanta,GA,51-60,0-5,Light Precipitation,0.88,56,9,2
Indianapolis,IN,31-40,0-5,Cloudy,0.29,45,19,2
Muskegon,MI,41-50,0-5,Cloudy,0.24,131,12,2
Lansing,MI,41-50,0-5,Light Precipitation,0.76,129,23,2
Detroit,MI,41-50,0-5,Light Precipitation,0.16,133,3,2
Romulus,MI,41-50,0-5,Light Precipitation,0.77,156,1,2
Whitmore Lake,MI,51-60,0-5,Light Precipitation,1,128,21,2
Valley Stream,NY,41-50,0-5,Cloudy,0.04,136,0,2
Valley Stream,NY,41-50,0-5,Cloudy,0.04,138,0,2
Wappingers Falls,NY,51-60,0-5,Cloudy,0.04,129,14,2
Wappingers Falls,NY,51-60,0-5,Cloudy,0.04,133,14,2
Peekskill,NY,51-60,0-5,Cloudy,0.18,131,10,2
Lake George,NY,31-40,0-5,Wintry Mix,1.17,148,21,2
Charleston,WV,51-60,0-5,Rain,0.8,173,14,2
Fairmont,WV,51-60,0-5,Rain,0.08,132,6,2
Harper Woods,MI,31-40,6-10,Light Precipitation,0.4,129,4,2
Charlotte,NC,51-60,6-10,Cloudy,0.02,180,15,2
Asheville,NC,41-50,6-10,Light Precipitation,0.04,61,14,2
Asheville,NC,51-60,6-10,Light Precipitation,1.4,89,16,2
Piscataway,NJ,41-50,6-10,Light Precipitation,3.08,97,8,2
Armonk,NY,51-60,6-10,Cloudy,0.08,132,16,2
Armonk,NY,51-60,6-10,Cloudy,0.08,141,16,2
Du Bois,PA,31-40,6-10,Cloudy,0.04,130,8,2
Williamsport,PA,41-50,6-10,Light Precipitation,0.01,130,14,2
Williamsport,PA,41-50,6-10,Light Precipitation,0.01,130,14,2
Cocoa,FL,71-80,6-10,Fair,0.02,300,8,2
Villa Rica,GA,61-70,6-10,Cloudy,0.8,100,17,2
Clarkston,GA,51-60,6-10,Light Precipitation,0.12,87,7,2
Saint Clair Shores,MI,41-50,6-10,Cloudy,1.28,22,15,2
Oak Park,MI,41-50,6-10,Cloudy,0.16,143,14,2
Saint Clair Shores,MI,31-40,6-10,Light Precipitation,0.26,125,5,2
Magnolia,NC,71-80,6-10,Fair,0.13,120,10,2
Nakina,NC,81-90,6-10,Fair,0.04,120,14,2
Nakina,NC,81-90,6-10,Fair,0.15,120,14,2
Nakina,NC,81-90,6-10,Fair,0.26,180,14,2
Nakina,NC,81-90,6-10,Fair,0.26,180,14,2
Nakina,NC,81-90,6-10,Fair,1.71,180,14,2
Nakina,NC,81-90,6-10,Fair,1.71,180,14,2
Nakina,NC,81-90,6-10,Fair,1.73,180,14,2
Whiteville,NC,81-90,6-10,Fair,1.73,180,14,2
Rockwell,NC,41-50,6-10,Light Precipitation,0.14,298,14,2
Rocky Mount,NC,51-60,6-10,Light Precipitation,1.24,127,14,2
Goldston,NC,61-70,6-10,Rain,0.08,120,9,2
Mount Ephraim,NJ,41-50,6-10,Light Precipitation,0.04,128,7,2
Bordentown,NJ,51-60,6-10,Cloudy,0.88,131,16,2
Trenton,NJ,51-60,6-10,Cloudy,0.03,131,16,2
Trenton,NJ,51-60,6-10,Cloudy,0.03,136,16,2
Woodside,NY,41-50,6-10,Cloudy,0.02,129,1,2
Woodside,NY,41-50,6-10,Cloudy,0.02,132,1,2
Buffalo,NY,31-40,6-10,Cloudy,0.91,129,14,2
Hawthorne,NY,51-60,6-10,Cloudy,0.46,20,17,2
Brooklyn,NY,41-50,6-10,Cloudy,1.94,108,6,2
New York,NY,41-50,6-10,Cloudy,0.23,127,6,2
Brooklyn,NY,41-50,6-10,Cloudy,0.01,131,7,2
New York,NY,41-50,6-10,Cloudy,0.23,132,6,2
Brooklyn,NY,41-50,6-10,Cloudy,0.01,139,7,2
Clifton Park,NY,31-40,6-10,Rain,0.02,129,18,2
Lake George,NY,31-40,6-10,Wintry Mix,1.49,127,14,2
Mill Hall,PA,41-50,6-10,Light Precipitation,2.4,127,15,2
Mill Hall,PA,41-50,6-10,Light Precipitation,2.4,127,15,2
Mifflintown,PA,51-60,6-10,Light Precipitation,0.02,128,13,2
Mifflintown,PA,51-60,6-10,Light Precipitation,0.04,128,13,2
Stanley,VA,41-50,6-10,Light Precipitation,0.23,127,17,2
Atlanta,GA,61-70,6-10,Light Precipitation,0.02,253,4,2
Atlanta,GA,61-70,6-10,Light Precipitation,0.75,60,8,2
Atlanta,GA,61-70,6-10,Light Precipitation,0.17,30,6,2
Smyrna,GA,61-70,6-10,Cloudy,0.05,45,15,2
Smyrna,GA,61-70,6-10,Cloudy,0.04,301,15,2
Smyrna,GA,61-70,6-10,Cloudy,0.04,301,15,2
Fort Wayne,IN,41-50,6-10,Light Precipitation,0.08,179,14,2
Fort Wayne,IN,41-50,6-10,Light Precipitation,0.08,982,14,2
Canton,MI,41-50,6-10,Cloudy,1.58,166,16,2
Grand Rapids,MI,51-60,6-10,Rain,0.13,21,23,2
Saint Pauls,NC,61-70,6-10,Light Precipitation,0.39,180,2,2
Alpine,NJ,51-60,6-10,Cloudy,0.01,129,16,2
Alpine,NJ,51-60,6-10,Cloudy,0.01,134,16,2
Bordentown,NJ,51-60,6-10,Fair,1.75,22,18,2
Cranbury,NJ,51-60,6-10,Fair,1.01,130,18,2
Jersey City,NJ,51-60,6-10,Cloudy,0.97,98,17,2
Mount Vernon,NY,51-60,6-10,Cloudy,0.24,21,16,2
Mount Vernon,NY,51-60,6-10,Cloudy,0.07,128,16,2
Latham,NY,41-50,6-10,Light Precipitation,0.07,132,20,2
Latham,NY,41-50,6-10,Light Precipitation,0.07,168,20,2
Harpursville,NY,31-40,6-10,Light Precipitation,0.01,158,0,2
Pittsburgh,PA,41-50,6-10,Light Precipitation,1.01,71,2,2
Roaring Spring,PA,51-60,6-10,Light Precipitation,0.35,127,14,2
Roaring Spring,PA,51-60,6-10,Light Precipitation,7.99,141,14,2
Morrisville,PA,41-50,6-10,Cloudy,1.54,124,8,2
Terra Alta,WV,31-40,6-10,Cloudy,0.07,130,9,2
East Haddam,CT,41-50,6-10,Cloudy,0.05,133,6,2
East Haddam,CT,41-50,6-10,Cloudy,0.05,258,6,2
Meriden,CT,31-40,6-10,Fair,1.13,130,14,2
Meriden,CT,31-40,6-10,Light Precipitation,0.13,132,14,2
Meriden,CT,31-40,6-10,Light Precipitation,0.87,233,14,2
Meriden,CT,31-40,6-10,Light Precipitation,0.06,287,14,2
Atlanta,GA,61-70,6-10,Cloudy,0.32,38,3,2
Atlanta,GA,61-70,6-10,Cloudy,0.09,114,3,2
Columbus,GA,61-70,6-10,Thunderstorm,1.47,59,9,2
Columbus,GA,61-70,6-10,Thunderstorm,0.2,86,9,2
Columbus,GA,61-70,6-10,Thunderstorm,0.91,86,9,2
Indianapolis,IN,61-70,6-10,Cloudy,0.76,59,7,2
Kalamazoo,MI,31-40,6-10,Cloudy,0.85,130,13,2
Grandville,MI,31-40,6-10,Light Precipitation,2.67,194,9,2
Charlotte,NC,51-60,6-10,Fair,0.02,60,8,2
Charlotte,NC,41-50,6-10,Light Precipitation,2.33,278,11,2
Charlotte,NC,41-50,6-10,Light Precipitation,4.4,459,11,2
Charlotte,NC,41-50,6-10,Light Precipitation,6.04,459,11,2
North Brunswick,NJ,51-60,6-10,Cloudy,0.03,132,15,2
North Brunswick,NJ,51-60,6-10,Cloudy,0.03,212,15,2
Poughquag,NY,51-60,6-10,Cloudy,0.16,138,15,2
Poughquag,NY,51-60,6-10,Cloudy,0.16,182,15,2
North Salem,NY,51-60,6-10,Cloudy,0.13,130,16,2
Brewster,NY,51-60,6-10,Cloudy,0.02,141,15,2
Corona,NY,51-60,6-10,Cloudy,0.06,132,16,2
Staten Island,NY,51-60,6-10,Cloudy,1.32,10,16,2
Rochester,NY,41-50,6-10,Light Precipitation,0.08,131,15,2
Rochester,NY,41-50,6-10,Light Precipitation,0.08,352,15,2
Rochester,NY,31-40,6-10,Light Precipitation,0.17,130,7,2
Rochester,NY,31-40,6-10,Light Precipitation,0.17,131,7,2
South Ozone Park,NY,51-60,6-10,Cloudy,0.69,129,16,2
Ebensburg,PA,11-20,6-10,Cloudy,0.1,127,9,2
Aldie,VA,51-60,6-10,Cloudy,0.02,124,13,2
Morgantown,WV,51-60,6-10,Cloudy,0.07,130,13,2
Charleston,WV,51-60,6-10,Light Precipitation,0.25,131,8,2
East Haven,CT,41-50,6-10,Cloudy,0.66,133,18,2
New Haven,CT,41-50,6-10,Cloudy,0.65,129,16,2
New Haven,CT,41-50,6-10,Cloudy,0.14,154,16,2
New Haven,CT,41-50,6-10,Cloudy,0.14,159,16,2
Bridgeport,CT,51-60,6-10,Cloudy,0.82,146,16,2
Hartford,CT,61-70,6-10,Cloudy,0.18,130,16,2
Darien,CT,21-30,6-10,Fair,0.18,127,7,2
Darien,CT,21-30,6-10,Fair,0.18,131,7,2
Darien,CT,21-30,6-10,Fair,0.89,138,7,2
Darien,CT,21-30,6-10,Fair,0.18,171,7,2
Newtown,CT,21-30,6-10,Fair,2.04,233,9,2
Middletown,CT,31-40,6-10,Fair,6.17,92,7,2
North Haven,CT,31-40,6-10,Fair,0.12,129,4,2
North Haven,CT,31-40,6-10,Fair,0.12,131,4,2
North Haven,CT,31-40,6-10,Fair,0.12,170,4,2
Groton,CT,31-40,6-10,Fair,0.18,130,7,2
Hartford,CT,31-40,6-10,Fair,0.64,164,7,2
Newtown,CT,31-40,6-10,Fair,3.39,71,15,2
Wethersfield,CT,31-40,6-10,Fair,0.22,190,23,2
Wethersfield,CT,31-40,6-10,Fair,0.22,202,23,2
Newtown,CT,31-40,6-10,Fair,0.19,131,11,2
Southington,CT,31-40,6-10,Fair,0.31,142,11,2
Newtown,CT,31-40,6-10,Fair,0.19,179,11,2
Newtown,CT,31-40,6-10,Fair,0.86,130,15,2
New Milford,CT,31-40,6-10,Fair,0.03,282,22,2
Hartford,CT,41-50,6-10,Fair,0.33,43,1,2
Hartford,CT,41-50,6-10,Fair,0.64,128,1,2
East Hartford,CT,41-50,6-10,Fair,0.09,255,22,2
East Hartford,CT,41-50,6-10,Fair,0.09,428,22,2
Stratford,CT,41-50,6-10,Fair,0.12,132,14,2
Stratford,CT,41-50,6-10,Fair,0.12,133,14,2
Branford,CT,41-50,6-10,Fair,1.73,46,15,2
Branford,CT,41-50,6-10,Fair,0.97,131,15,2
Bridgeport,CT,41-50,6-10,Fair,0.75,132,17,2
Bridgeport,CT,41-50,6-10,Fair,0.16,157,17,2
Branford,CT,41-50,6-10,Fair,0.12,162,15,2
Branford,CT,41-50,6-10,Fair,0.12,167,15,2
Bridgeport,CT,41-50,6-10,Fair,0.77,38,15,2
Bridgeport,CT,41-50,6-10,Fair,0.21,133,15,2
Hamden,CT,41-50,6-10,Fair,2.49,60,17,2
Norwalk,CT,41-50,6-10,Fair,0.07,129,11,2
New Haven,CT,41-50,6-10,Fair,1.43,131,17,2
Bridgeport,CT,41-50,6-10,Fair,0.01,173,9,2
New Haven,CT,41-50,6-10,Fair,1.77,196,17,2
New Haven,CT,41-50,6-10,Fair,0.81,217,17,2
Chester,CT,41-50,6-10,Fair,0.69,27,15,2
Stamford,CT,41-50,6-10,Fair,1.96,86,10,2
Haddam,CT,41-50,6-10,Fair,3.48,130,15,2
Darien,CT,41-50,6-10,Fair,0.06,162,4,2
Chester,CT,41-50,6-10,Fair,0.4,172,15,2
Norwalk,CT,41-50,6-10,Fair,9.24,228,15,2
Danbury,CT,41-50,6-10,Fair,1.39,39,15,2
Fairfield,CT,41-50,6-10,Fair,0.76,128,17,2
East Lyme,CT,41-50,6-10,Fair,1.01,130,15,2
Westport,CT,41-50,6-10,Fair,0.05,131,16,2
Danbury,CT,41-50,6-10,Fair,0.13,132,15,2
Orange,CT,41-50,6-10,Fair,1.31,132,17,2
Fairfield,CT,41-50,6-10,Fair,0.72,141,17,2
Westport,CT,41-50,6-10,Fair,1.09,144,16,2
Danbury,CT,41-50,6-10,Fair,0.74,147,15,2
Danbury,CT,41-50,6-10,Fair,0.93,157,15,2
Danbury,CT,41-50,6-10,Fair,0.81,159,15,2
Plainville,CT,41-50,6-10,Fair,0.17,162,17,2
East Lyme,CT,41-50,6-10,Fair,0.47,180,15,2
Stamford,CT,51-60,6-10,Fair,0.74,132,10,2
Stamford,CT,51-60,6-10,Fair,0.26,144,10,2
Stamford,CT,51-60,6-10,Fair,0.83,168,10,2
Stamford,CT,51-60,6-10,Fair,0.26,227,10,2
Stonington,CT,51-60,6-10,Fair,1.49,15,17,2
Orange,CT,51-60,6-10,Fair,1.36,130,14,2
Branford,CT,51-60,6-10,Fair,1.29,25,17,2
Stonington,CT,51-60,6-10,Fair,2.14,127,17,2
Stonington,CT,51-60,6-10,Fair,2.14,130,17,2
Stonington,CT,51-60,6-10,Fair,0.43,185,17,2
Hartford,CT,51-60,6-10,Fair,0.59,126,19,2
Hartford,CT,51-60,6-10,Fair,0.15,133,19,2
East Hartford,CT,51-60,6-10,Fair,0.04,138,12,2
Waterbury,CT,51-60,6-10,Fair,2.01,81,16,2
Waterbury,CT,51-60,6-10,Fair,0.06,139,16,2
Waterbury,CT,51-60,6-10,Fair,0.06,186,16,2
Greenwich,CT,51-60,6-10,Fair,0.27,132,14,2
Greenwich,CT,51-60,6-10,Fair,0.27,190,14,2
Greenwich,CT,51-60,6-10,Fair,0.27,192,14,2
Southport,CT,61-70,6-10,Fair,2.92,88,17,2
Stamford,CT,61-70,6-10,Fair,0.77,127,17,2
Greenwich,CT,61-70,6-10,Fair,5.78,156,16,2
Bridgeport,CT,61-70,6-10,Fair,3.15,69,16,2
Fairfield,CT,61-70,6-10,Fair,0.96,131,16,2
Fairfield,CT,61-70,6-10,Fair,0.75,171,16,2
Westport,CT,31-40,6-10,Fair,2.3,78,11,2
Westport,CT,31-40,6-10,Fair,1.38,129,11,2
Windsor,CT,51-60,6-10,Cloudy,2.67,159,15,2
Rocky Hill,CT,31-40,6-10,Cloudy,2.37,117,14,2
Rocky Hill,CT,31-40,6-10,Cloudy,0.61,131,14,2
Old Greenwich,CT,41-50,6-10,Cloudy,0.85,124,13,2
Old Greenwich,CT,41-50,6-10,Cloudy,0.84,166,13,2
Greenwich,CT,41-50,6-10,Cloudy,2.04,175,17,2
Stamford,CT,31-40,6-10,Cloudy,5.48,298,12,2
Norwalk,CT,31-40,6-10,Cloudy,0.84,130,14,2
Norwalk,CT,31-40,6-10,Cloudy,0.25,150,14,2
Norwalk,CT,31-40,6-10,Cloudy,0.25,156,14,2
Greenwich,CT,31-40,6-10,Cloudy,1.04,127,13,2
Hialeah,FL,81-90,6-10,Fair,0.25,50,13,2
Hialeah,FL,81-90,6-10,Fair,0.19,300,14,2
Roswell,GA,41-50,6-10,Cloudy,0.02,30,9,2
Roswell,GA,41-50,6-10,Cloudy,0.05,30,9,2
Atlanta,GA,61-70,6-10,Cloudy,0.72,43,12,2
Canton,GA,61-70,6-10,Cloudy,0.16,30,12,2
Atlanta,GA,61-70,6-10,Cloudy,0.97,32,14,2
Atlanta,GA,61-70,6-10,Cloudy,0.03,99,11,2
Atlanta,GA,61-70,6-10,Cloudy,3.11,142,11,2
Cartersville,GA,61-70,6-10,Cloudy,1.42,33,11,2
Macon,GA,71-80,6-10,Cloudy,0.22,30,9,2
Macon,GA,71-80,6-10,Cloudy,0.84,30,9,2
Atlanta,GA,71-80,6-10,Cloudy,0.36,219,17,2
Atlanta,GA,71-80,6-10,Cloudy,0.07,30,15,2
Atlanta,GA,31-40,6-10,Fair,0.76,34,12,2
Atlanta,GA,41-50,6-10,Fair,5.17,430,11,2
Lithonia,GA,41-50,6-10,Fair,1.3,165,18,2
Atlanta,GA,41-50,6-10,Fair,0.73,287,14,2
Atlanta,GA,41-50,6-10,Fair,3.47,88,14,2
Atlanta,GA,51-60,6-10,Fair,1.35,64,15,2
Soperton,GA,51-60,6-10,Fair,0.25,30,8,2
Atlanta,GA,51-60,6-10,Fair,0.22,69,12,2
Ellenwood,GA,51-60,6-10,Fair,0.12,30,9,2
Atlanta,GA,51-60,6-10,Fair,0.32,34,10,2
Macon,GA,51-60,6-10,Fair,0.28,131,13,2
Hiram,GA,61-70,6-10,Fair,0.01,30,6,2
Hiram,GA,61-70,6-10,Fair,0.01,114,6,2
Atlanta,GA,61-70,6-10,Fair,1.57,54,13,2
Ellenwood,GA,61-70,6-10,Fair,0.83,125,10,2
Kennesaw,GA,61-70,6-10,Fair,0.85,30,10,2
Marietta,GA,61-70,6-10,Fair,6.88,316,13,2
Cleveland,GA,61-70,6-10,Fair,0.05,30,20,2
Midway,GA,61-70,6-10,Fair,0.04,30,23,2
Lithia Springs,GA,61-70,6-10,Fair,5.9,239,11,2
Atlanta,GA,71-80,6-10,Fair,0.62,30,15,2
Atlanta,GA,71-80,6-10,Fair,2.61,60,15,2
Alpharetta,GA,71-80,6-10,Fair,0.24,30,12,2
Clarkston,GA,71-80,6-10,Fair,4.67,83,12,2
Clarkston,GA,71-80,6-10,Fair,1.68,75,12,2
Tucker,GA,71-80,6-10,Fair,0.88,149,16,2
Atlanta,GA,71-80,6-10,Fair,0.46,264,14,2
Kennesaw,GA,71-80,6-10,Fair,2.39,148,19,2
McDonough,GA,71-80,6-10,Fair,0.88,30,13,2
Atlanta,GA,71-80,6-10,Fair,2.23,204,14,2
Atlanta,GA,71-80,6-10,Fair,0.86,30,19,2
Savannah,GA,71-80,6-10,Fair,0.32,30,17,2
Decatur,GA,71-80,6-10,Fair,0.8,42,13,2
Atlanta,GA,71-80,6-10,Fair,0.78,167,19,2
Clarkston,GA,71-80,6-10,Fair,1.37,207,13,2
Atlanta,GA,71-80,6-10,Fair,0.74,122,15,2
Atlanta,GA,71-80,6-10,Fair,0.46,33,16,2
Atlanta,GA,71-80,6-10,Fair,2.97,98,14,2
Atlanta,GA,71-80,6-10,Fair,0.74,104,14,2
Atlanta,GA,71-80,6-10,Fair,0.46,169,15,2
Decatur,GA,51-60,6-10,Light Precipitation,0.17,145,9,2
Union City,GA,51-60,6-10,Cloudy,2.46,73,13,2
Atlanta,GA,61-70,6-10,Cloudy,4.7,173,16,2
Dalton,GA,61-70,6-10,Cloudy,0.19,30,11,2
Atlanta,GA,61-70,6-10,Cloudy,0.1,35,16,2
Atlanta,GA,61-70,6-10,Cloudy,0.04,35,10,2
Atlanta,GA,61-70,6-10,Cloudy,0.87,34,15,2
Marietta,GA,61-70,6-10,Cloudy,0.92,118,17,2
Marietta,GA,61-70,6-10,Cloudy,2.32,145,17,2
Smyrna,GA,71-80,6-10,Cloudy,0.22,30,17,2
Atlanta,GA,71-80,6-10,Cloudy,0.5,38,17,2
Atlanta,GA,71-80,6-10,Cloudy,0.41,49,17,2
Atlanta,GA,71-80,6-10,Cloudy,0.22,65,17,2
Decatur,GA,71-80,6-10,Cloudy,0.27,38,14,2
Riceboro,GA,71-80,6-10,Cloudy,0.18,59,12,2
Riceboro,GA,71-80,6-10,Cloudy,2.58,119,12,2
Riceboro,GA,71-80,6-10,Cloudy,2.58,125,11,2
Lithonia,GA,41-50,6-10,Cloudy,1.87,289,17,2
Atlanta,GA,61-70,6-10,Cloudy,0.21,44,17,2
Griffin,GA,61-70,6-10,Cloudy,0.01,30,22,2
Tunnel Hill,GA,61-70,6-10,Cloudy,2.86,158,13,2
Atlanta,GA,71-80,6-10,Cloudy,0.31,122,13,2
Stockbridge,GA,71-80,6-10,Cloudy,0.2,30,11,2
Forsyth,GA,61-70,6-10,Thunderstorm,0.84,30,13,2
Crawfordsville,IN,51-60,6-10,Cloudy,0.27,178,16,2
Indianapolis,IN,61-70,6-10,Cloudy,0.49,88,18,2
Indianapolis,IN,21-30,6-10,Fair,0.44,13,8,2
Indianapolis,IN,41-50,6-10,Cloudy,0.4,89,19,2
Milford,MI,31-40,6-10,Cloudy,1.46,62,7,2
Detroit,MI,31-40,6-10,Cloudy,0.15,128,23,2
Grand Rapids,MI,41-50,6-10,Cloudy,2.13,32,7,2
Grand Rapids,MI,41-50,6-10,Cloudy,0.74,139,7,2
Grand Rapids,MI,41-50,6-10,Cloudy,0.25,21,15,2
Grand Rapids,MI,41-50,6-10,Cloudy,0.25,129,15,2
Grand Rapids,MI,41-50,6-10,Cloudy,0.95,23,16,2
Detroit,MI,51-60,6-10,Cloudy,0.04,130,11,2
Detroit,MI,51-60,6-10,Cloudy,0.56,127,9,2
Detroit,MI,41-50,6-10,Cloudy,1.37,65,13,2
Rochester,MI,21-30,6-10,Fair,0.43,129,8,2
Holt,MI,21-30,6-10,Fair,1.54,25,8,2
Detroit,MI,21-30,6-10,Fair,0.03,126,7,2
Detroit,MI,21-30,6-10,Fair,0.3,128,7,2
Detroit,MI,21-30,6-10,Fair,0.3,133,7,2
Huntington Woods,MI,31-40,6-10,Fair,0.17,130,2,2
Detroit,MI,31-40,6-10,Fair,1.73,55,9,2
Grand Rapids,MI,31-40,6-10,Fair,0.2,127,9,2
Grand Rapids,MI,31-40,6-10,Fair,0.13,131,14,2
Romulus,MI,31-40,6-10,Fair,0.7,133,9,2
Grand Rapids,MI,31-40,6-10,Fair,0.33,127,15,2
Huntington Woods,MI,31-40,6-10,Fair,0.31,127,21,2
Ypsilanti,MI,31-40,6-10,Fair,1.01,142,8,2
Grand Rapids,MI,31-40,6-10,Fair,0.31,129,8,2
